x,y
1895,467
1896,468
1898,468
1899,469
1901,469
1902,470
1904,470
1905,471
1908,471
1909,472
1911,472
1912,473
1914,473
1915,474
1916,474
1918,476
1919,476
1920,477
1921,477
1922,478
1926,478
1927,477
1930,477
1932,479
1931,480
1931,482
1930,483
1930,484
1929,485
1929,486
1927,488
1927,490
1926,491
1926,492
1925,493
1925,494
1924,495
1924,496
1922,498
1922,500
1923,501
1923,504
1922,505
1922,506
1921,507
1921,508
1920,509
1920,511
1919,512
1919,514
1920,515
1920,522
1915,527
1914,527
1912,529
1911,529
1910,530
1908,530
1907,531
1905,531
1904,532
1903,532
1902,533
1901,533
1900,534
1899,534
1897,536
1896,536
1895,537
1894,537
1893,538
1892,538
1890,540
1890,541
1889,542
1889,543
1888,544
1888,545
1885,548
1885,549
1884,550
1884,551
1883,552
1883,554
1882,555
1882,556
1881,557
1880,557
1879,558
1878,558
1877,559
1876,559
1875,560
1874,560
1873,561
1872,561
1871,562
1869,562
1868,563
1867,563
1866,564
1865,564
1864,565
1862,565
1861,566
1860,566
1859,567
1858,567
1857,568
1856,568
1856,569
1855,570
1855,571
1856,572
1856,573
1865,573
1866,574
1867,574
1868,575
1869,575
1872,578
1873,578
1874,579
1880,579
1881,580
1882,580
1883,581
1884,581
1888,585
1888,589
1887,590
1887,593
1886,594
1886,595
1881,600
1880,600
1878,602
1876,602
1875,603
1873,603
1872,604
1869,604
1868,605
1867,605
1867,606
1868,607
1868,609
1874,609
1875,610
1878,610
1879,611
1881,611
1882,612
1886,612
1887,613
1888,613
1889,612
1899,612
1900,613
1903,613
1904,614
1907,614
1908,615
1910,615
1911,616
1913,616
1914,617
1919,617
1920,618
1927,618
1928,619
1928,620
1927,621
1927,624
1924,627
1921,627
1920,628
1918,628
1917,629
1916,629
1915,630
1914,630
1912,632
1911,632
1910,633
1910,634
1914,638
1917,638
1918,639
1924,639
1925,640
1926,640
1928,642
1937,642
1938,643
1943,643
1944,644
1948,644
1949,645
1956,645
1957,646
1962,646
1963,647
1970,647
1972,649
1973,649
1974,650
1976,650
1977,651
1979,651
1981,653
1982,653
1983,654
1985,654
1986,655
1990,655
1991,656
1998,656
1999,657
2006,657
2007,658
2009,658
2010,659
2014,659
2015,660
2019,660
2020,661
2026,661
2027,662
2034,662
2035,663
2037,663
2038,664
2041,664
2042,665
2043,665
2044,666
2045,666
2046,667
2047,667
2048,668
2050,668
2051,669
2053,669
2054,670
2055,670
2056,671
2057,671
2058,672
2062,672
2063,673
2069,673
2070,674
2074,674
2075,673
2079,673
2080,672
2085,672
2086,673
2090,673
2091,674
2094,674
2095,675
2099,675
2100,676
2107,676
2108,677
2109,677
2110,678
2112,678
2113,679
2115,679
2116,680
2118,680
2119,681
2125,681
2126,682
2130,682
2131,683
2133,683
2134,684
2136,684
2137,685
2140,685
2141,686
2144,686
2145,687
2146,687
2147,688
2151,688
2152,689
2154,689
2155,690
2156,690
2157,691
2158,691
2159,692
2159,693
2160,694
2161,694
2162,695
2163,695
2166,698
2166,704
2167,705
2166,706
2167,706
2169,708
2169,709
2171,711
2171,712
2174,715
2174,717
2175,718
2175,719
2176,720
2175,721
2175,722
2173,724
2173,725
2172,726
2172,727
2170,729
2170,730
2171,731
2172,731
2173,732
2174,732
2175,733
2177,733
2178,734
2183,734
2184,735
2188,735
2189,736
2191,736
2192,737
2205,737
2206,738
2210,738
2211,739
2210,740
2209,740
2208,741
2201,741
2200,742
2198,742
2197,743
2196,743
2195,744
2193,744
2191,746
2190,746
2188,748
2186,748
2185,749
2184,749
2182,751
2182,752
2180,754
2180,756
2179,757
2179,758
2177,760
2176,760
2175,761
2174,761
2172,763
2171,763
2164,770
